date,warehouse,product_line,net_revenue
2021-06-03,North,Electrical system,326.21
2021-06-03,Central,Electrical system,245.31
2021-06-03,Central,Suspension & traction,213.15
2021-06-03,North,Suspension & traction,180.91
2021-06-03,Central,Frame & body,48.9
2021-06-03,West,Electrical system,40.37
2021-06-02,West,Frame & body,308.89
2021-06-02,Central,Frame & body,244.63
2021-06-02,Central,Electrical system,223.68
2021-06-02,Central,Suspension & traction,172.01
2021-06-02,Central,Breaking system,135.92
2021-06-02,North,Miscellaneous,121.66
2021-06-02,West,Breaking system,49.94
2021-06-02,North,Frame & body,40.41
2021-06-01,North,Suspension & traction,1758.25
2021-06-01,West,Frame & body,1579.87
2021-06-01,North,Frame & body,878.05
2021-06-01,Central,Frame & body,229.22
2021-06-01,Central,Suspension & traction,224.71
2021-06-01,Central,Breaking system,224.38
2021-06-01,North,Breaking system,173.61
2021-06-01,Central,Miscellaneous,134.83
2021-06-01,Central,Engine,120.96
2021-06-01,West,Electrical system,54.41
